iter	Passed	Remaining
440	639	810
441	640	809
442	642	807
443	643	805
444	644	803
445	645	801
446	646	799
447	647	797
448	648	795
449	649	793
450	650	792
451	652	790
452	653	788
453	654	787
454	655	785
455	656	783
456	659	783
457	660	781
458	661	779
459	662	777
460	663	775
461	664	773
462	665	771
463	666	769
464	667	767
465	668	766
466	670	765
467	671	763
468	673	762
469	675	762
470	677	760
471	678	759
472	680	757
473	681	756
474	683	755
475	685	754
476	687	754
477	688	752
478	691	751
479	692	749
480	693	748
481	694	746
482	695	744
483	696	742
484	697	740
485	698	739
486	700	737
487	701	736
488	702	734
489	703	732
490	704	730
491	706	728
492	707	727
493	708	725
494	708	723
495	709	721
496	710	719
497	711	717
498	712	715
499	713	713
500	715	712
501	716	710
502	717	708
503	717	706
504	718	704
505	720	702
506	720	700
507	721	699
508	722	697
509	723	695
510	724	693
511	725	691
512	726	689
513	728	688
514	729	686
515	730	685
516	731	683
517	732	681
518	733	679
519	734	678
520	735	676
521	736	674
522	737	672
523	738	670
524	738	668
525	739	666
526	740	664
527	743	664
528	744	662
529	745	661
530	746	659
531	747	657
532	748	656
533	749	654
534	751	652
535	751	650
536	753	649
537	754	647
538	755	645
539	756	644
540	758	643
541	759	641
542	760	640
543	762	638
544	763	637
545	764	635
546	765	633
547	766	632
548	767	630
549	768	628
550	769	626
551	769	624
552	771	623
553	772	622
554	773	620
555	775	619
556	776	617
557	777	615
558	778	613
559	779	612
560	780	610
561	781	608
562	781	606
563	782	605
564	783	603
565	784	601
566	785	599
567	786	598
568	787	596
569	789	595
570	789	593
571	791	591
572	792	590
573	793	588
574	793	586
575	794	585
576	795	583
577	796	581
578	797	580
579	799	578
580	801	577
581	803	577
582	805	576
583	807	575
584	809	574
585	810	572
586	812	571
587	813	570
588	815	568
589	817	567
590	818	566
591	820	565
592	822	564
593	823	562
594	825	561
595	826	560
596	827	558
597	830	558
598	831	556
599	833	555
600	835	554
601	837	553
602	838	552
603	840	550
604	841	549
605	843	548
606	846	547
607	847	546
608	848	544
609	849	543
610	850	541
611	851	539
612	852	538
613	853	536
614	854	534
615	855	533
616	856	531
617	857	530
618	858	528
619	860	527
620	861	525
621	862	524
622	863	522
623	864	520
624	865	519
625	866	517
626	867	515
627	868	514
628	869	512
629	870	511
630	871	509
631	872	508
632	873	506
633	874	505
634	876	503
635	877	501
636	878	500
637	879	498
638	880	497
639	881	495
640	882	494
641	883	492
642	884	491
643	885	489
644	886	488
645	887	486
646	888	484
647	889	483
648	890	481
649	891	480
650	892	478
651	893	476
652	893	475
653	894	473
654	895	471
655	896	470
656	897	468
657	898	466
658	899	465
659	900	463
660	901	462
661	903	461
662	904	459
663	905	458
664	906	456
665	907	455
666	908	453
667	909	451
668	910	450
669	911	448
670	912	447
671	913	445
672	914	444
673	915	442
674	916	441
675	917	439
676	919	438
677	920	437
678	921	435
679	922	434
680	923	432
681	924	431
682	925	429
683	926	428
684	927	426
685	928	425
686	931	424
687	932	422
688	933	421
689	934	419
690	935	418
691	936	416
692	938	415
693	939	414
694	940	412
695	941	411
696	942	409
697	944	408
698	945	407
699	947	405
700	948	404
701	949	403
702	950	401
703	951	400
704	953	398
705	954	397
706	955	395
707	956	394
708	957	393
709	959	391
710	960	390
711	962	389
712	963	387
713	964	386
714	966	385
715	968	384
716	969	382
717	971	381
718	972	380
719	974	378
720	975	377
721	976	376
722	977	374
723	978	373
724	979	371
725	980	370
726	981	368
727	982	367
728	984	365
729	985	364
730	986	362
731	987	361
732	988	360
733	989	358
734	991	357
735	992	355
736	993	354
737	994	353
738	995	351
739	996	350
740	997	348
741	998	347
742	999	345
743	1001	344
744	1004	343
745	1005	342
746	1006	341
747	1008	339
748	1009	338
749	1010	336
750	1012	335
751	1013	334
752	1014	332
753	1015	331
754	1016	329
755	1020	329
756	1024	328
757	1026	327
758	1027	326
759	1029	325
760	1031	323
761	1034	323
762	1037	322
763	1038	320
764	1040	319
765	1041	318
766	1042	316
767	1043	315
768	1044	313
769	1046	312
770	1048	311
771	1049	309
772	1052	308
773	1053	307
774	1054	306
775	1055	304
776	1056	303
777	1058	301
778	1059	300
779	1060	299
780	1062	298
781	1064	296
782	1065	295
783	1066	293
784	1067	292
785	1069	291
786	1070	289
787	1071	288
788	1072	286
789	1073	285
790	1075	284
791	1076	282
792	1077	281
793	1079	279
794	1080	278
795	1081	277
796	1082	275
797	1083	274
798	1084	272
799	1085	271
800	1086	269
801	1087	268
802	1088	267
803	1089	265
804	1091	264
805	1092	263
806	1093	261
807	1094	260
808	1096	258
809	1097	257
810	1098	255
811	1099	254
812	1100	253
813	1101	251
814	1102	250
815	1103	248
816	1104	247
817	1105	245
818	1106	244
819	1107	243
820	1108	241
821	1109	240
822	1110	238
823	1112	237
824	1113	236
825	1114	234
826	1115	233
827	1116	231
828	1117	230
829	1118	229
830	1119	227
831	1120	226
832	1121	224
833	1122	223
834	1123	222
835	1124	220
836	1125	219
837	1126	217
838	1127	216
839	1128	215
840	1129	213
841	1130	212
842	1131	210
843	1132	209
844	1133	207
845	1134	206
846	1135	205
847	1136	203
848	1137	202
849	1138	200
850	1139	199
851	1140	198
852	1141	196
853	1142	195
854	1143	193
855	1144	192
856	1145	191
857	1146	189
858	1147	188
859	1148	186
860	1149	185
861	1151	184
862	1152	183
863	1154	181
864	1155	180
865	1156	179
866	1158	177
867	1159	176
868	1160	175
869	1162	173
870	1163	172
871	1164	170
872	1166	169
873	1167	168
874	1168	166
875	1170	165
876	1171	164
877	1173	163
878	1174	161
879	1175	160
880	1177	159
881	1178	157
882	1180	156
883	1181	155
884	1183	153
885	1184	152
886	1186	151
887	1187	149
888	1188	148
889	1189	147
890	1190	145
891	1192	144
892	1193	142
893	1194	141
894	1196	140
895	1197	138
896	1198	137
897	1200	136
898	1201	135
899	1203	133
900	1204	132
901	1205	131
902	1207	129
903	1208	128
904	1210	127
905	1211	125
906	1213	124
907	1214	123
908	1215	121
909	1216	120
910	1218	119
911	1219	117
912	1220	116
913	1222	114
914	1223	113
915	1225	112
916	1226	111
917	1227	109
918	1229	108
919	1230	107
920	1232	105
921	1233	104
922	1234	103
923	1236	101
924	1237	100
925	1239	99
926	1240	97
927	1242	96
928	1243	95
929	1245	93
930	1246	92
931	1247	91
932	1249	89
933	1250	88
934	1253	87
935	1255	85
936	1257	84
937	1258	83
938	1261	81
939	1262	80
940	1264	79
941	1265	77
942	1267	76
943	1268	75
944	1270	73
945	1271	72
946	1273	71
947	1274	69
948	1275	68
949	1276	67
950	1278	65
951	1279	64
952	1280	63
953	1282	61
954	1284	60
955	1285	59
956	1286	57
957	1288	56
958	1289	55
959	1290	53
960	1291	52
961	1293	51
962	1294	49
963	1296	48
964	1298	47
965	1300	45
966	1302	44
967	1303	43
968	1305	41
969	1306	40
970	1307	39
971	1308	37
972	1310	36
973	1311	35
974	1313	33
975	1314	32
976	1316	30
977	1317	29
978	1319	28
979	1320	26
980	1321	25
981	1323	24
982	1324	22
983	1325	21
984	1327	20
985	1328	18
986	1329	17
987	1330	16
988	1332	14
989	1333	13
990	1334	12
991	1336	10
992	1337	9
993	1338	8
994	1340	6
995	1341	5
996	1343	4
997	1344	2
998	1345	1
999	1346	0
